Date,Red_Numerator,Red_Denominator,Orange_Numerator,Orange_Denominator,Green-E_Numerator,Green-E_Denominator,Green-D_Numerator,Green-D_Denominator,Green-C_Numerator,Green-C_Denominator,Green-B_Numerator,Green-B_Denominator,Blue_Numerator,Blue_Denominator
2016-02-19,57180.32,65144.95,40416.12,42808.08,3862.518,6660.804,3204.019,4626.369,3658.514,7176.121,4153.331,5575.612,8114.814,8991.222
2016-02-22,54871.03,64703.14,41441.12,43769.84,3940.116,6727.567,3539.914,4659.199,3768.899,6959.972,3831.134,5519.962,8478.988,9006.885
2016-02-23,54185.27,63154.66,36538.73,40595.99,3836.55,6571.559,3537.594,4886.016,3736.237,6671.092,3914.768,5585.487,7886.917,8765.008
2016-02-24,50107.32,59139.68,38622.64,42104.46,3896.01,6493.002,3311.453,4617.081,3666.188,7052.472,3829.264,5339.942,7898.96,8640.402
2016-02-25,50291.1,58929.78,34708.88,39089.61,3896.793,6657.566,3111.362,4586.701,3919.6,7031.137,3991.077,5507.245,5942.591,7286.97
2016-02-26,57302.95,65867.59,42410.19,45728.45,4025.712,6685.511,3336.301,4609.174,4105.845,7315.393,4040.199,5586.314,8164.766,8931.6
2016-02-29,59145.46,66591.05,40934.69,43905.93,4128.566,6881.854,3610.118,4630.58,4171.174,7028.668,4550.576,5799.407,7995.59,8836.648
2016-03-01,50879.55,57212.45,35542.63,39239.38,3459.369,6439.698,3158.174,4367.697,3287.865,5860.303,3854.165,5021.308,7417.022,8108.646
2016-03-02,63735.29,69700.1,41610.92,45247.17,4628.398,6927.874,3512.032,4638.875,4231.762,7205.117,4757.415,5717.567,8906.03,9078.959
2016-03-03,60984.55,68278.7,41979.93,46457.91,4583.103,7013.438,3599.395,4760.43,4180.765,6800.432,4101.092,5555.706,8952.75,9172.544
2016-03-04,57899.0,63946.35,39866.61,43031.51,3861.362,6918.623,3000.351,4533.323,3881.262,6894.616,3682.752,5529.878,8089.111,8550.525
2016-03-07,55025.66,64630.86,39884.0,43559.19,4196.505,6746.829,3478.281,4808.764,3806.014,6683.829,4252.013,5757.418,8236.349,8665.912
2016-03-08,54582.7,63263.12,38219.01,42357.04,4322.416,7078.425,3515.596,4883.831,4127.02,6968.358,4263.578,5747.684,7754.31,8421.164
2016-03-09,13774.21,16859.29,9317.142,11689.25,1719.029,3961.199,1016.889,2335.398,1500.33,3914.564,1241.94,2569.697,1396.457,1882.726
2016-03-10,32836.93,39159.02,21599.15,26389.69,3244.304,5486.976,2265.918,3417.598,2356.49,4860.073,2845.822,4091.473,4526.029,5268.174
2016-03-11,59552.79,67665.52,42565.03,45230.56,4098.531,6753.643,3595.132,4547.479,3992.078,6869.216,4322.399,5736.722,8660.972,8970.623
2016-03-14,53481.68,64324.69,31944.95,39248.17,3989.118,7332.592,3131.576,4656.383,2873.24,5987.883,3633.746,5497.249,6838.411,7720.6
2016-03-15,45817.51,57605.89,31409.59,38697.04,3574.003,7530.159,3002.118,4716.91,3403.307,6666.175,3419.32,5273.599,6476.741,7586.435
2016-03-16,36202.74,47961.66,26978.3,33337.26,3368.242,6827.028,2513.692,4179.969,3580.183,7260.675,2855.034,5024.696,5855.273,7049.944
2016-03-17,51009.04,62625.59,36261.46,43236.44,3487.062,6761.796,3496.606,5744.486,3952.499,6589.962,3382.641,5297.738,7138.422,8367.177
2016-03-18,47633.36,61401.34,30954.73,39115.49,3609.588,6519.828,4394.115,7213.42,3725.546,6146.97,3595.595,5654.378,6334.443,7715.111
2016-03-21,54645.18,65107.2,40714.41,43584.07,5374.407,8510.975,5155.97,7584.407,4460.709,6800.141,4189.535,5897.939,10618.27,11847.73
2016-03-22,62551.94,69729.84,42724.39,45236.84,5686.687,8447.14,5376.099,7170.8,4833.15,7211.263,4322.51,5799.118,11373.26,11754.08
2016-03-23,55057.42,64650.45,35195.26,37576.85,5349.313,8307.123,5293.112,7678.159,5044.388,7564.557,4278.006,5791.889,9991.989,10967.13
2016-03-24,48728.54,64252.9,42833.26,46235.63,6383.109,9366.239,5055.56,7456.564,4405.278,6642.817,4547.715,5828.987,11039.47,11955.23
2016-03-25,56746.04,65010.86,40555.38,43339.33,5332.942,8280.989,5060.386,7529.316,4933.197,7198.065,3738.34,5465.667,9325.342,10753.73
2016-03-28,56527.21,63965.72,40203.11,43818.73,5789.039,8475.272,5030.92,7201.264,5098.1,7641.379,4000.686,5701.556,10508.41,11223.71
2016-03-29,54452.57,63072.97,40007.92,42572.7,5498.515,8561.466,4754.917,7078.721,4981.752,7425.201,4031.859,5570.31,9877.304,10809.77
2016-03-30,57780.74,64467.69,39698.22,43176.25,5672.89,8258.467,5226.596,7407.971,4741.85,7109.946,3836.451,5652.427,9923.477,11118.92
2016-03-31,52860.52,62638.08,38519.76,42520.41,5977.957,8880.389,5157.098,7418.034,5061.549,7519.828,4044.5,5643.279,10225.46,11115.84
2016-04-01,55987.78,64040.67,41627.78,43498.73,4940.015,7794.262,5293.303,7495.128,4598.029,6736.104,4452.147,5686.047,9630.732,10938.98
2016-04-04,55674.76,65385.83,40027.2,43616.21,5461.842,8295.425,5158.925,7315.461,5170.547,7773.607,4290.716,5690.214,9770.291,10876.34
2016-04-05,63267.99,69733.2,42122.19,45240.27,5887.705,8349.167,5125.67,7193.843,5630.275,7575.484,4386.575,5692.856,11155.9,11886.21
2016-04-06,61450.35,68883.69,42355.04,45677.87,5568.672,8858.635,5268.795,7052.767,4942.615,6605.744,4501.115,5675.454,10856.99,12030.23
2016-04-07,57285.57,64254.96,36022.13,43471.13,5295.795,7981.322,5545.578,7772.789,4858.44,7005.46,4140.041,5732.275,10390.49,11271.79
2016-04-08,50864.59,61320.18,39334.96,42434.65,5518.802,7871.139,5413.212,7506.915,4916.013,7548.2,4271.41,5798.799,10306.61,11373.36
2016-04-11,54344.46,61309.49,42721.62,45473.66,6115.489,8861.196,5241.22,7093.302,5120.891,7506.156,4537.639,5753.447,11040.11,11575.5
2016-04-12,56594.82,63604.12,32969.59,38692.46,5541.944,8607.596,5147.008,7193.121,4809.395,6946.731,4363.913,5804.118,10061.98,10892.81
2016-04-13,58509.2,67699.78,43716.03,45713.7,5771.136,8690.524,4978.705,7167.107,4887.72,7362.075,4282.467,5651.749,11180.34,11746.9
2016-04-14,57408.53,66331.06,42915.78,45465.19,5700.702,8318.136,5976.504,8045.938,5027.811,6908.429,4486.047,5653.874,11239.14,11787.89
2016-04-15,50619.69,61097.09,38955.29,43367.27,5231.428,7871.499,5446.593,7719.739,4912.044,6806.658,4375.529,5689.037,9524.352,10404.21
2016-04-18,57972.46,65269.79,41381.65,43275.25,5372.553,8355.802,5411.744,7657.523,4601.542,6702.821,4399.149,5833.049,10556.56,11227.35
2016-04-19,59724.85,67723.06,43400.47,45975.37,6059.23,8522.519,5668.37,7496.715,5724.042,7563.067,4735.523,5773.825,11292.44,11764.17
2016-04-20,56599.83,64553.75,40130.98,44187.16,5731.541,8643.973,4942.816,7083.299,5250.069,7653.411,4257.15,5710.029,9319.164,10663.69
2016-04-21,60539.41,67811.05,43126.71,45639.09,5169.577,7889.743,6832.826,8908.769,5650.801,7810.672,4928.378,6082.119,11013.7,11961.64
2016-04-22,53892.14,61766.64,41401.56,43534.47,5732.069,8352.488,5970.636,7719.076,4772.552,7553.615,4381.501,5692.12,10107.2,10757.47
2016-04-25,57566.41,65194.47,39791.15,44165.9,5672.033,7977.228,5956.987,7934.629,5431.316,7449.051,4239.525,5694.177,10350.47,11082.26
2016-04-26,55284.38,62306.13,38976.85,41790.79,5866.867,8549.834,5582.671,7582.567,5130.435,7397.362,4280.8,5755.211,10425.19,11098.97
2016-04-27,55720.06,62967.05,39443.46,42710.07,5410.976,8496.809,4964.554,7417.274,4633.961,7308.002,4155.388,5806.204,10105.69,10682.45
2016-04-28,64674.63,69669.29,41681.25,45552.03,6609.636,9503.136,5900.303,7886.019,7043.018,10020.47,5791.265,7164.107,11291.68,11818.71
2016-04-29,65045.65,69834.88,37426.68,42895.03,7866.863,11138.73,5696.059,7638.597,9341.346,12381.29,6748.325,8478.508,10707.29,11504.8
2016-05-02,60524.13,67506.5,38103.48,41716.09,5767.037,9521.045,4781.153,6708.597,7689.766,11478.46,5952.423,7786.724,9812.286,10573.49
2016-05-03,58062.83,66023.53,38566.66,42443.67,7132.361,10641.12,5440.383,7654.863,9004.347,12637.35,6199.89,8003.969,9371.09,10430.67
2016-05-04,79671.64,85353.63,51525.03,56892.65,7574.333,10842.3,6131.477,8012.387,8952.702,11849.05,7049.667,8108.152,17177.33,17597.33
2016-05-05,72147.12,78502.75,48001.61,52206.32,7795.311,12041.99,5255.576,7762.489,8785.119,12517.8,6361.299,8054.866,13156.17,14200.11
2016-05-06,70142.73,76971.05,47995.89,51924.72,7209.318,10858.64,4888.721,7457.155,8512.287,13102.85,6152.673,8173.053,13581.58,14501.89
2016-05-09,75410.61,82881.41,51022.37,54371.54,7007.499,10544.16,5187.514,7569.102,8876.405,12569.46,6119.917,8202.873,14771.55,15645.08
2016-05-10,79482.76,85837.16,56364.91,58773.28,8118.412,10880.1,6001.589,8220.114,9283.539,11915.69,6556.538,8088.208,16547.34,16989.41
2016-05-11,74587.47,80422.04,50257.5,54033.78,7821.287,10989.45,5429.339,8072.184,8786.807,12571.72,6558.695,8173.051,14855.36,15695.59
2016-05-12,72000.9,79901.67,49017.47,53577.7,7222.653,10797.76,5546.809,8135.753,8680.893,12537.07,5595.902,8010.447,14525.87,16119.4
2016-05-13,72836.41,81167.42,51114.72,55731.59,6563.825,9927.455,5652.885,8052.573,6725.736,9307.257,6243.257,9097.697,14461.79,15682.5
2016-05-16,77737.01,84637.57,52290.01,56181.92,7649.766,10995.73,5600.235,7665.097,9099.101,12448.17,6263.085,7975.29,15319.7,16213.43
2016-05-17,75203.6,82989.51,51708.05,55467.78,6853.127,10328.56,5364.342,7622.032,8630.389,12250.51,6102.635,7965.396,14679.01,15567.16
2016-05-18,76296.54,82408.12,49316.72,52983.99,7429.62,10653.88,5735.383,7731.23,9070.987,12353.24,6256.302,8200.737,14492.68,15417.32
2016-05-19,72425.79,79588.2,52586.84,57115.17,7198.805,10819.95,5592.135,7646.777,8399.548,11881.1,6407.288,8303.901,14392.1,15514.52
2016-05-20,74123.16,82263.98,51949.13,55120.83,7200.439,10651.2,6004.006,8318.896,9061.618,12265.73,6518.366,8159.261,14115.61,15369.88
2016-05-23,72060.56,80138.06,51150.77,53895.57,7332.324,10353.22,4854.492,7287.717,8870.075,12188.57,6055.585,8202.556,14748.91,15767.14
2016-05-24,77082.57,81805.64,51643.5,55466.45,7447.038,10728.67,5176.981,7379.76,9456.691,12808.35,6797.236,8653.124,15106.5,16414.24
2016-05-25,76009.62,81736.9,50391.86,55012.64,7289.292,10779.77,5369.005,7637.042,8918.133,12459.92,6321.426,7996.336,14379.66,15775.82
2016-05-26,72652.04,79390.76,50038.8,54127.31,6986.055,11027.96,5405.704,7811.565,7863.666,12136.17,6133.206,8135.922,14696.54,16344.43
2016-05-27,81367.63,86710.25,58297.89,60371.37,7548.156,10981.8,4965.043,7653.335,8205.228,11571.28,6656.584,8248.587,16157.61,17339.09
2016-05-30,79499.92,83592.59,54013.0,54510.01,8028.678,10411.84,5360.599,6976.523,9392.457,12046.37,6398.478,7965.505,13342.01,14371.06
2016-05-31,72749.52,79074.15,47839.21,52881.45,7093.636,11202.4,4577.808,7156.074,7032.383,11101.07,6108.318,7960.089,13157.58,15083.32
2016-06-01,77237.57,83605.24,55464.0,59031.28,7077.398,10533.58,4905.167,7013.334,8279.977,12172.19,6090.757,8243.098,16655.98,17524.74
2016-06-02,81154.38,85990.59,55023.54,57462.17,7545.274,11061.18,5564.374,7576.955,8606.082,12423.21,6370.732,8210.517,16870.98,17578.79
2016-06-03,74171.98,80125.29,50377.22,55030.82,6272.877,10328.66,4989.881,7783.792,7476.722,11639.57,6170.126,8161.456,15190.05,16139.09
2016-06-06,76115.58,81520.81,51571.22,56240.23,7036.627,10602.21,4562.531,7231.916,8370.76,12032.08,6356.898,7981.371,15099.4,15969.39
2016-06-07,82524.72,86341.7,57674.45,59995.61,7323.601,10550.45,5612.064,7901.283,8691.708,12260.59,6585.462,8042.837,16050.9,16900.79
2016-06-08,73078.02,78176.86,51054.86,54614.13,6909.063,11093.86,4649.721,7315.148,7456.141,11072.36,6127.674,8214.237,14278.69,15401.72
2016-06-09,79975.57,84576.06,57392.73,60561.57,7745.505,10935.9,5029.718,7157.055,8825.587,12376.2,6881.532,8406.307,16413.19,17143.63
2016-06-10,81293.89,86793.21,56740.09,59800.58,7316.851,10546.98,5370.916,7243.457,8880.762,12334.23,6949.602,8235.842,16994.49,17635.35
